product_name,website,country,category,subcategory,title-href,price,brand,ingredients,form,type,color,size,rating,noofratings
"Orange Carrot Soap, Pure, Vegan, Natural & Handmade Soap for Hydrates Skin",Flipkart,India,body,soap,https://www.flipkart.com/soulflower-orange-carrot-soap-pure-vegan-natural-handmade-soap-hydrates-skin/p/itmb0913631cb19d?pid=SOPETG6FAZ7RDSCC&lid=LSTSOPETG6FAZ7RDSCCDGAG55&marketplace=FLIPKART&q=body+soap&store=g9b%2F5nz%2Fb1b%2Fyug&srno=s_6_216&otracker=search&otracker1=search&iid=8f49a451-209d-4154-8241-64ca65f9d109.SOPETG6FAZ7RDSCC.SEARCH&ssid=d33dno9ca80000001677678112703&qH=f8a87faf9a9fb865,300.0,Soulflower,,solid,all,Orange,150,4.1,427
Lip Lift Max - Sheer Rose,Sephora,India,lips,lipgloss,https://sephora.nnnow.com/pixi-women-lip-lift-max---sheer-rose-64AVMSZ4UOJ,1350.0,PIXI,"Dilinoleic Acid/Propanediol Copolymer, Triisostearoyl Polyglyceryl-3 Dimer Dilinoleate, Diisostearyl Dimer Dilinoleate, Octyldodecanol, Dipalmitoyl Hydroxyproline, Cetearyl Ethylhexanoate, Fragrance, Menthol, Caprylyl Glycol, Tocopheryl Acetate, Benzotriazolyl Dodecyl P-Cresol, Simmondsia Chinensis (Jojoba) Seed , Titanium Dioxide (CI 77891), Caprylic/Capric Triglyceride, Sorbitan Isostearate, Linoleic Acid, Glycine Soja (Soybean) , Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate, Tetrabutyl Ethylidenebisphenol, Mica (CI 77019), Aloe Barbadensis Leaf Extract, Linolenic Acid, Portulaca Pilosa Extract, Chamomilla Recutita (Matricaria) Flower Extract, Sucrose Cocoate, Carmine (CI 75470), Tocopherol, Palmitoyl Tripeptide",liquid,all,Sheer Rose,2.7,4.11,11
Nature In A Jar Cica Complex Recovery Moisturizer,ulta,USA,skincare,moisturizer,https://www.ulta.com/p/nature-in-a-jar-cica-complex-recovery-moisturizer-pimprod2012760?sku=2555309,4003.79,Philosophy,"Aqua/Water/Eau, Glycerin, Cetearyl Alcohol, Neopentyl Glycol Diheptanoate, Dicaprylyl Carbonate, Cetearyl Olivate, Sorbitan Olivate, Butylene Glycol, Butyrospermum&Nbsp; Parkii (Shea) Butter, C9-12 Alkane, 1,2-Hexanediol, Caprylyl Glycol, Prunus Armeniaca (Apricot) Kernel , Simmondsia Chinensis (Jojoba) Seed , Carbomer, Parfum/Fragrance, Xanthan Gum, Coco-Caprylate/Caprate, Tocopheryl Acetate, Pentylene Glycol, Sodium Hydroxide, Adansonia Digitata Seed , Citrullus Lanatus (Watermelon) Seed , Glyceryl Caprylate, Glyceryl Undecylenate, Opuntia Tuna Fruit Extract, Propanediol, Hydrolyzed Soy Flour, Agave Americana Leaf Extract, Aloe Barbadensis Leaf Juice, Citric Acid, Sodium Benzoate, Adansonia Digitata Fruit Extract, Phospholipids, Glycyrrhiza Uralensis (Licorice) Root Extract, Citronellol, Potassium Sorbate, Linalool, Centella Asiatica Leaf Extract, Tocopherol, Glycyrrhiza Glabra (Licorice) Rhizome/Root Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Sodium Hyaluronate, Caramel (No Color Index Specified).",cream,"sensitive,normal",No color,60,4.4,414
"Khadi Cucumber & Loofah, Pomegranate, Potato & Rice, Rose, Strawberry and Strawberry Pine Handmade Bathing Soap 125 gm Each (Pack Of 6)",Flipkart,India,body,soap,https://www.flipkart.com/nutriment-khadi-cucumber-loofah-pomegranate-potato-rice-rose-strawberry-pine-handmade-bathing-soap-125-gm-each-pack-6/p/itme6ad1c923e527?pid=SOPG94SVJAB4QJP7&lid=LSTSOPG94SVJAB4QJP76FBBHH&marketplace=FLIPKART&q=body+soap&store=g9b%2F5nz%2Fb1b%2Fyug&srno=s_11_440&otracker=search&otracker1=search&iid=25f9fb12-496e-42d4-b273-e5f6f2571268.SOPG94SVJAB4QJP7.SEARCH&ssid=zuhudemv400000001677683992346&qH=f8a87faf9a9fb865,450.0,Nutriment,,solid,all,Multicolor,750,,
"Engage One Soul Gender-free Perfume, Unisex, Long Lasting, Citrus and Spicy, Free Tester with pack, 100",Flipkart,India,body,perfume,https://www.amazon.in/Engage-Gender-free-Perfume-Unisex-Lasting/dp/B0BCJYQ8MD/ref=sr_1_92?crid=11Q0K9H22S2CF&keywords=perfumes&qid=1677661954&sprefix=perfumes%2Caps%2C356&sr=8-92,422.0,Engage,,aerosol,,Engage One Soul is a gender free and long lasting perfume which is a radically fresh composition of sparkling citrus & crisp aromatic spicy notes blended with smooth amber & woods,100,4.5,"9,665"
"Carmex Original Lip Balm, 0.25 OZ",Amazon,India,lips,lipbalm,https://www.amazon.in/Carmex-Original-Lip-Balm-0-25/dp/B071D3X7KR/ref=sr_1_99?crid=34R2TM9K7WK8A&keywords=lip+balm&qid=1677163504&sprefix=lipbalm%2Caps%2C378&sr=8-99,817.0,Carmex,,stick,combination,Pink guava,,4.5,27
"CureSkin Lip Balm 10gm | Contains Amino Acid, Vitamin E | Shea Butter & Coconut Oil for Hydration | SPF 15 | For Men & Women | Helps to Improves Lip Texture",Amazon,India,lips,lipbalm,https://www.amazon.in/CureSkin-Contains-Vitamin-Hydration-Improves/dp/B0B9HGQG4V/ref=sr_1_170?crid=34R2TM9K7WK8A&keywords=lip+balm&qid=1677161793&sprefix=lipbalm%2Caps%2C378&sr=8-170,220.0,CureSk+n,,gel,all,Transparent,,4,28
"Biotique Fruit Whitening Lip Balm Lightens Evens Out Lip Tones, 12g",Amazon,India,lips,lipbalm,https://www.amazon.in/Biotique-Fruit-Whitening-Lightens-Evens/dp/B06XFPNXDD/ref=sr_1_270?crid=34R2TM9K7WK8A&keywords=lip+balm&qid=1677161180&sprefix=lipbalm%2Caps%2C378&sr=8-270,210.0,Biotique,,stick,all,Soft rose,12 s,4.1,210
Double Trouble Waterproof Mascara,ulta,USA,eyes,mascara,https://www.ulta.com/p/double-trouble-waterproof-mascara-pimprod2030526?sku=2590872,489.38,Essence,"Aqua (Water), Styrene/Acrylates Copolymer, Glyceryl Stearate, Copernicia Cerifera (Carnauba) Wax, Synthetic Wax, VP/Hexadecene Copolymer, Glycerin, Synthetic Beeswax, Palmitic Acid, Stearic Acid, Acrylates Copolymer, Polyvinyl Alcohol, Octyldodecanol, Tocopherol, Cera Microcristallina (Microcrystalline Wax), Hydroxyacetophenone, Ethylhexylglycerin, Caprylyl Glycol, Sodium Hydroxide, Phenoxyethanol, Ci 77007 (Ultramarines), Ci 77499 (Iron Oxides).",liquid,all,,19.5,3.8,93
Superfine Waterproof Eyeliner Pen,ulta,USA,eyes,eyeliner,https://www.ulta.com/p/superfine-waterproof-eyeliner-pen-xlsImpprod14401019?sku=2305494,325.98,Essence,"Aqua (Water), Ammonium Acrylates Copolymer, Methylpropanediol, Alcohol Denat., Acrylates Copolymer, Lactobacillus Ferment, Glycerine, Panthenol, Simethicone, Caprylyl Glycol, Phenyl Propanol, PPG-2-Deceth-30, Isopropyl Alcohol, Sodium Laureth Sulfate, Biosaccharide Rubber 1, Disodium EDTA, Sodium Dehydroacetate, Phenoxyethanol, CI 77266 (Black 2).",liquid,all,Satin Black,0.9,3.4,402
Essence Circus Circus Cream Eyeshadow It's Magic 01-70446,Amazon,India,eyes,eyeshadow,https://www.amazon.in/Essence-Circus-Cream-Eyeshadow-01-70446/dp/B003SY1O7I/ref=sr_1_3781?crid=23F4X9PWZGM0X&keywords=eyeshadow&qid=1677599080&refinements=p_n_feature_four_browse-bin%3A34410131031&rnid=34410127031&s=beauty&sprefix=eyes%2Caps%2C304&sr=1-3781,2899.0,Max Factor,,cream,,06 party lime,9 s,3.3,3
Wiffy Professional Makeup Eyelashes Black And Thick Eyelash Growth Liquid,Amazon,India,eyes,mascara,https://www.amazon.in/Professional-Makeup-Eyelashes-Eyelash-Growth/dp/B0BG5Y4QJJ/ref=sr_1_1379?crid=1NGBA87L3BLU4&keywords=mascara&qid=1677632955&refinements=p_n_feature_seven_browse-bin%3A58769430031&rnid=58769385031&s=beauty&sprefix=%2Cbeauty%2C2036&sr=1-1379,499.0,Wiffy,,liquid,,BLACK,,,No reviews
La Vie Est Belle Shower Gel,ulta,USA,body,perfume,https://www.ulta.com/p/la-vie-est-belle-shower-gel-xlsImpprod5390051?sku=2250022,4248.4,Lancï¿½ï¿½,Aqua / Water / Eau Sodium Laureth Sulfate Parfum / Fragrance Coco-Betaine Glycerin Ppg-5-Ceteth-20 Peg-60 Hydrogenated Castor  Ceteareth-60 Myristyl Glycol Sodium Chloride Sodium Hydroxide Citric Acid Polyquaternium-7 Sodium Benzoate Salicylic Acid Linalool Alpha-Isomethyl Ionone Coumarin Limonene Citronellol Hexyl Cinnamal Benzyl Alcohol Benzyl Salicylate.,liquid,all,No color,201,4.9,16
Adbeni WATERPROOF EYELINER Bundle With Liner & Rubber Band -PHMH-M,Amazon,India,eyes,eyeliner,https://www.amazon.in/WATERPROOF-EYELINER-Liner-Rubber-PHMH-M/dp/B01CJW56SW/ref=sr_1_248?crid=3L905BRQ07JA8&keywords=eyeliner&qid=1677590864&sprefix=eyeliner%2Caps%2C248&sr=8-248,263.0,Adbeni,,pencil,,Multi,,,No reviews
