method,quantization,dataset,feature,value,prefix,id,correct
llama-3-8b,4bits,BrazilianE-commerce,URIs,rdfs:domain,rdfs,domain,TRUE
llama-3-8b,4bits,BrazilianE-commerce,URIs,rdfs:range,rdfs,range,TRUE
llama-3-8b,4bits,BrazilianE-commerce,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-3-8b,4bits,BrazilianE-commerce,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-3-8b,4bits,BrazilianE-commerce,URIs,xsd:string,xsd,string,TRUE
llama-3-8b,4bits,BrazilianE-commerce,URIs,xsd:decimal,xsd,decimal,TRUE
llama-3-8b,8bits,BrazilianE-commerce,total,10,NA,NA,NA
llama-3-8b,8bits,BrazilianE-commerce,validity,10,NA,NA,NA
llama-3-8b,8bits,BrazilianE-commerce,corrected,0,NA,NA,NA
llama-3-8b,8bits,BrazilianE-commerce,URIs,rdf:type (a),rdf,type (a),TRUE
llama-3-8b,8bits,BrazilianE-commerce,URIs,owl:Class,owl,Class,TRUE
llama-3-8b,8bits,BrazilianE-commerce,URIs,rdfs:subClassOf,rdfs,subClassOf,TRUE
llama-3-8b,8bits,BrazilianE-commerce,URIs,rdfs:domain,rdfs,domain,TRUE
llama-3-8b,8bits,BrazilianE-commerce,URIs,rdfs:range,rdfs,range,TRUE
llama-3-8b,8bits,BrazilianE-commerce,URIs,owl:Thing,owl,Thing,TRUE
llama-3-8b,8bits,BrazilianE-commerce,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-3-8b,8bits,BrazilianE-commerce,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-3-8b,8bits,BrazilianE-commerce,URIs,xsd:string,xsd,string,TRUE
llama-3-8b,8bits,BrazilianE-commerce,URIs,xsd:decimal,xsd,decimal,TRUE
llama-3-8b,8bits,CustomerComplaint,total,12,NA,NA,NA
llama-3-8b,8bits,CustomerComplaint,validity,12,NA,NA,NA
llama-3-8b,8bits,CustomerComplaint,corrected,0,NA,NA,NA
llama-3-8b,8bits,CustomerComplaint,URIs,rdf:type (a),rdf,type (a),TRUE
llama-3-8b,8bits,CustomerComplaint,URIs,owl:Ontology,owl,Ontology,TRUE
llama-3-8b,8bits,CustomerComplaint,URIs,owl:Class,owl,Class,TRUE
llama-3-8b,8bits,CustomerComplaint,URIs,rdfs:comment,rdfs,comment,TRUE
llama-3-8b,8bits,CustomerComplaint,URIs,rdfs:label,rdfs,label,TRUE
llama-3-8b,8bits,CustomerComplaint,URIs,rdfs:subClassOf,rdfs,subClassOf,TRUE
llama-3-8b,8bits,CustomerComplaint,URIs,rdfs:domain,rdfs,domain,TRUE
llama-3-8b,8bits,CustomerComplaint,URIs,rdfs:range,rdfs,range,TRUE
llama-3-8b,8bits,CustomerComplaint,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-3-8b,8bits,CustomerComplaint,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-3-8b,8bits,CustomerComplaint,URIs,xsd:integer,xsd,integer,TRUE
llama-3-8b,8bits,CustomerComplaint,URIs,xsd:float,xsd,float,TRUE
llama-3-8b,all,CustomerComplaint,total,11,NA,NA,NA
llama-3-8b,all,CustomerComplaint,validity,10,NA,NA,NA
llama-3-8b,all,CustomerComplaint,corrected,1,NA,NA,NA
llama-3-8b,all,CustomerComplaint,URIs,rdf:type (a),rdf,type (a),TRUE
llama-3-8b,all,CustomerComplaint,URIs,owl:Class,owl,Class,TRUE
llama-3-8b,all,CustomerComplaint,URIs,rdfs:subClassOf,rdfs,subClassOf,TRUE
llama-3-8b,all,CustomerComplaint,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-3-8b,all,CustomerComplaint,URIs,rdfs:domain,rdfs,domain,TRUE
llama-3-8b,all,CustomerComplaint,URIs,rdfs:range,rdfs,range,TRUE
llama-3-8b,all,CustomerComplaint,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-3-8b,all,CustomerComplaint,URIs,owl:Categorical,owl,Categorical,FALSE
llama-3-8b,all,CustomerComplaint,URIs,xsd:integer,xsd,integer,TRUE
llama-3-8b,all,CustomerComplaint,URIs,xsd:string,xsd,string,TRUE
llama-3-8b,all,CustomerComplaint,URIs,xsd:float,xsd,float,TRUE
llama-3-8b,4bits,eCommerce,total,9,NA,NA,NA
llama-3-8b,4bits,eCommerce,validity,9,NA,NA,NA
llama-3-8b,4bits,eCommerce,corrected,0,NA,NA,NA
llama-3-8b,4bits,eCommerce,URIs,rdf:type (a),rdf,type (a),TRUE
llama-3-8b,4bits,eCommerce,URIs,rdfs:subClassOf,rdfs,subClassOf,TRUE
llama-3-8b,4bits,eCommerce,URIs,owl:Thing,owl,Thing,TRUE
llama-3-8b,4bits,eCommerce,URIs,owl:oneOf,owl,oneOf,TRUE
llama-3-8b,4bits,eCommerce,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-3-8b,4bits,eCommerce,URIs,rdfs:domain,rdfs,domain,TRUE
llama-3-8b,4bits,eCommerce,URIs,rdfs:range,rdfs,range,TRUE
llama-3-8b,4bits,eCommerce,URIs,xsd:double,xsd,double,TRUE
llama-3-8b,4bits,eCommerce,URIs,xsd:string,xsd,string,TRUE
llama-3-8b,8bits,eCommerce,total,8,NA,NA,NA
llama-3-8b,8bits,eCommerce,validity,8,NA,NA,NA
llama-3-8b,8bits,eCommerce,corrected,0,NA,NA,NA
llama-3-8b,8bits,eCommerce,URIs,rdf:type (a),rdf,type (a),TRUE
llama-3-8b,8bits,eCommerce,URIs,rdfs:subClassOf,rdfs,subClassOf,TRUE
llama-3-8b,8bits,eCommerce,URIs,owl:Thing,owl,Thing,TRUE
llama-3-8b,8bits,eCommerce,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-3-8b,8bits,eCommerce,URIs,rdfs:domain,rdfs,domain,TRUE
llama-3-8b,8bits,eCommerce,URIs,rdfs:range,rdfs,range,TRUE
llama-3-8b,8bits,eCommerce,URIs,xsd:decimal,xsd,decimal,TRUE
llama-3-8b,8bits,eCommerce,URIs,xsd:string,xsd,string,TRUE
mistral-7b,all,AirlinesCustomerSatisfaction,total,8,NA,NA,NA
mistral-7b,all,AirlinesCustomerSatisfaction,validity,4,NA,NA,NA
mistral-7b,all,AirlinesCustomerSatisfaction,corrected,4,NA,NA,NA
mistral-7b,all,AirlinesCustomerSatisfaction,URIs,rdf:type (a),rdf,type (a),TRUE
mistral-7b,all,AirlinesCustomerSatisfaction,URIs,rdf:label,rdf,label,FALSE
mistral-7b,all,AirlinesCustomerSatisfaction,URIs,rdf:subclass_of,rdf,subclass_of,FALSE
mistral-7b,all,AirlinesCustomerSatisfaction,URIs,rdf:domain,rdf,domain,FALSE
mistral-7b,all,AirlinesCustomerSatisfaction,URIs,rdf:range,rdf,range,FALSE
mistral-7b,all,AirlinesCustomerSatisfaction,URIs,owl:Class,owl,Class,TRUE
mistral-7b,all,AirlinesCustomerSatisfaction,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
mistral-7b,all,AirlinesCustomerSatisfaction,URIs,xsd:int,xsd,int,TRUE
mistral-7b,all,AmazonRating,total,12,NA,NA,NA
mistral-7b,all,AmazonRating,validity,7,NA,NA,NA
mistral-7b,all,AmazonRating,corrected,5,NA,NA,NA
mistral-7b,all,AmazonRating,URIs,rdf:type (a),rdf,type (a),TRUE
mistral-7b,all,AmazonRating,URIs,owl:Class,owl,Class,TRUE
mistral-7b,all,AmazonRating,URIs,rdfs:DatatypeProperty,rdfs,DatatypeProperty,FALSE
mistral-7b,all,AmazonRating,URIs,rdfs:domain,rdfs,domain,TRUE
mistral-7b,all,AmazonRating,URIs,rdfs:range,rdfs,range,TRUE
mistral-7b,all,AmazonRating,URIs,rdfs:subPropertyOf,rdfs,subPropertyOf,TRUE
mistral-7b,all,AmazonRating,URIs,owl:hasValue,owl,hasValue,TRUE
mistral-7b,all,AmazonRating,URIs,rdf:String,rdf,String,FALSE
mistral-7b,all,AmazonRating,URIs,rdf:id,rdf,id,FALSE
mistral-7b,all,AmazonRating,URIs,rdfs:propertyChain,rdfs,propertyChain,FALSE
mistral-7b,all,AmazonRating,URIs,rdfs:property,rdfs,property,FALSE
mistral-7b,all,AmazonRating,URIs,rdf:Property,rdf,Property,TRUE
mistral-7b,all,BigBasketProducts,total,13,NA,NA,NA
mistral-7b,all,BigBasketProducts,validity,11,NA,NA,NA
mistral-7b,all,BigBasketProducts,corrected,2,NA,NA,NA
mistral-7b,all,BigBasketProducts,URIs,rdf:type (a),rdf,type (a),TRUE
mistral-7b,all,BigBasketProducts,URIs,owl:Class,owl,Class,TRUE
mistral-7b,all,BigBasketProducts,URIs,rdfs:subClassOf,rdfs,subClassOf,TRUE
mistral-7b,all,BigBasketProducts,URIs,rdf:Property,rdf,Property,TRUE
mistral-7b,all,BigBasketProducts,URIs,rdfs:label,rdfs,label,TRUE
mistral-7b,all,BigBasketProducts,URIs,rdfs:domain,rdfs,domain,TRUE
mistral-7b,all,BigBasketProducts,URIs,rdfs:range,rdfs,range,TRUE
mistral-7b,all,BigBasketProducts,URIs,rdfs:Literal,rdfs,Literal,TRUE
mistral-7b,all,BigBasketProducts,URIs,rdf:Resource,rdf,Resource,FALSE
mistral-7b,all,BigBasketProducts,URIs,rdfs:Real,rdfs,Real,FALSE
mistral-7b,all,BigBasketProducts,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
mistral-7b,all,BigBasketProducts,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
mistral-7b,all,BigBasketProducts,URIs,owl:NamedIndividual,owl,NamedIndividual,TRUE
mistral-7b,all,BrazilianE-commerce,total,10,NA,NA,NA
mistral-7b,all,BrazilianE-commerce,validity,9,NA,NA,NA
mistral-7b,all,BrazilianE-commerce,corrected,1,NA,NA,NA
mistral-7b,all,BrazilianE-commerce,URIs,rdf:type (a),rdf,type (a),TRUE
mistral-7b,all,BrazilianE-commerce,URIs,owl:Class,owl,Class,TRUE
mistral-7b,all,BrazilianE-commerce,URIs,rdfs:subClassOf,rdfs,subClassOf,TRUE
mistral-7b,all,BrazilianE-commerce,URIs,rdfs:label,rdfs,label,TRUE
mistral-7b,all,BrazilianE-commerce,URIs,rdfs:domain,rdfs,domain,TRUE
mistral-7b,all,BrazilianE-commerce,URIs,rdfs:range,rdfs,range,TRUE
mistral-7b,all,BrazilianE-commerce,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
mistral-7b,all,BrazilianE-commerce,URIs,owl:DatatypeProperty,owl,DatatypeProperty,FALSE
mistral-7b,all,BrazilianE-commerce,URIs,xsd:string,xsd,string,TRUE
mistral-7b,all,BrazilianE-commerce,URIs,xsd:int,xsd,int,TRUE
mistral-7b,all,CustomerComplaint,total,12,NA,NA,NA
mistral-7b,all,CustomerComplaint,validity,5,NA,NA,NA
mistral-7b,all,CustomerComplaint,corrected,7,NA,NA,NA
mistral-7b,all,CustomerComplaint,URIs,rdf:type (a),rdf,type (a),TRUE
mistral-7b,all,CustomerComplaint,URIs,owl:Class,owl,Class,TRUE
mistral-7b,all,CustomerComplaint,URIs,rdf:label,rdf,label,FALSE
mistral-7b,all,CustomerComplaint,URIs,rdf:DatatypeProperty,rdf,DatatypeProperty,FALSE
mistral-7b,all,CustomerComplaint,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
mistral-7b,all,CustomerComplaint,URIs,rdf:propertyType,rdf,propertyType,FALSE
mistral-7b,all,CustomerComplaint,URIs,rdf:domain,rdf,domain,FALSE
mistral-7b,all,CustomerComplaint,URIs,rdf:range,rdf,range,FALSE
mistral-7b,all,CustomerComplaint,URIs,rdf:ObjectProperty,rdf,ObjectProperty,FALSE
mistral-7b,all,CustomerComplaint,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
mistral-7b,all,CustomerComplaint,URIs,rdf:subClassOf,rdf,subClassOf,FALSE
mistral-7b,all,CustomerComplaint,URIs,xsd:integer,xsd,integer,TRUE
mistral-7b,all,eCommerce,total,11,NA,NA,NA
mistral-7b,all,eCommerce,validity,7,NA,NA,NA
mistral-7b,all,eCommerce,corrected,4,NA,NA,NA
mistral-7b,all,eCommerce,URIs,rdf:namespace,rdf,namespace,FALSE
mistral-7b,all,eCommerce,URIs,rdf:type (a),rdf,type (a),TRUE
mistral-7b,all,eCommerce,URIs,owl:Class,owl,Class,TRUE
mistral-7b,all,eCommerce,URIs,rdf:label,rdf,label,FALSE
mistral-7b,all,eCommerce,URIs,rdfs:subClassOf,rdfs,subClassOf,TRUE
mistral-7b,all,eCommerce,URIs,rdf:Property,rdf,Property,TRUE
mistral-7b,all,eCommerce,URIs,rdfs:Literal,rdfs,Literal,TRUE
mistral-7b,all,eCommerce,URIs,rdf:typedBy,rdf,typedBy,FALSE
mistral-7b,all,eCommerce,URIs,rdf:XMLSchema,rdf,XMLSchema,FALSE
mistral-7b,all,eCommerce,URIs,xsd:int,xsd,int,TRUE
mistral-7b,all,eCommerce,URIs,xsd:float,xsd,float,TRUE
mixtral-8-7b,all,AirlinesCustomerSatisfaction,total,6,NA,NA,NA
mixtral-8-7b,all,AirlinesCustomerSatisfaction,validity,6,NA,NA,NA
mixtral-8-7b,all,AirlinesCustomerSatisfaction,corrected,0,NA,NA,NA
mixtral-8-7b,all,AirlinesCustomerSatisfaction,URIs,rdf:type (a),rdf,type (a),TRUE
mixtral-8-7b,all,AirlinesCustomerSatisfaction,URIs,owl:Class,owl,Class,TRUE
mixtral-8-7b,all,AirlinesCustomerSatisfaction,URIs,owl:unionOf,owl,unionOf,TRUE
mixtral-8-7b,all,AirlinesCustomerSatisfaction,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
mixtral-8-7b,all,AirlinesCustomerSatisfaction,URIs,rdfs:domain,rdfs,domain,TRUE
mixtral-8-7b,all,AirlinesCustomerSatisfaction,URIs,rdfs:range,rdfs,range,TRUE
mixtral-8-7b,all,AmazonRating,total,16,NA,NA,NA
mixtral-8-7b,all,AmazonRating,validity,16,NA,NA,NA
mixtral-8-7b,all,AmazonRating,corrected,0,NA,NA,NA
mixtral-8-7b,all,AmazonRating,URIs,rdf:type (a),rdf,type (a),TRUE
mixtral-8-7b,all,AmazonRating,URIs,owl:Ontology,owl,Ontology,TRUE
mixtral-8-7b,all,AmazonRating,URIs,owl:Class,owl,Class,TRUE
mixtral-8-7b,all,AmazonRating,URIs,rdfs:subClassOf,rdfs,subClassOf,TRUE
mixtral-8-7b,all,AmazonRating,URIs,owl:Thing,owl,Thing,TRUE
mixtral-8-7b,all,AmazonRating,URIs,owl:onClass,owl,onClass,TRUE
mixtral-8-7b,all,AmazonRating,URIs,owl:intersectionOf,owl,intersectionOf,TRUE
mixtral-8-7b,all,AmazonRating,URIs,owl:Restriction,owl,Restriction,TRUE
mixtral-8-7b,all,AmazonRating,URIs,owl:onProperty,owl,onProperty,TRUE
mixtral-8-7b,all,AmazonRating,URIs,owl:someValuesFrom,owl,someValuesFrom,TRUE
mixtral-8-7b,all,AmazonRating,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
mixtral-8-7b,all,AmazonRating,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
mixtral-8-7b,all,AmazonRating,URIs,rdfs:domain,rdfs,domain,TRUE
mixtral-8-7b,all,AmazonRating,URIs,rdfs:range,rdfs,range,TRUE
mixtral-8-7b,all,AmazonRating,URIs,xsd:string,xsd,string,TRUE
mixtral-8-7b,all,AmazonRating,URIs,xsd:float,xsd,float,TRUE
mixtral-8-7b,all,BrazilianE-commerce,total,11,NA,NA,NA
mixtral-8-7b,all,BrazilianE-commerce,validity,10,NA,NA,NA
mixtral-8-7b,all,BrazilianE-commerce,corrected,1,NA,NA,NA
mixtral-8-7b,all,BrazilianE-commerce,URIs,rdf:type (a),rdf,type (a),TRUE
mixtral-8-7b,all,BrazilianE-commerce,URIs,rdf:about,rdf,about,FALSE
mixtral-8-7b,all,BrazilianE-commerce,URIs,rdfs:subClassOf,rdfs,subClassOf,TRUE
mixtral-8-7b,all,BrazilianE-commerce,URIs,rdfs:comment,rdfs,comment,TRUE
mixtral-8-7b,all,BrazilianE-commerce,URIs,rdfs:domain,rdfs,domain,TRUE
mixtral-8-7b,all,BrazilianE-commerce,URIs,rdfs:range,rdfs,range,TRUE
mixtral-8-7b,all,BrazilianE-commerce,URIs,owl:Ontology,owl,Ontology,TRUE
mixtral-8-7b,all,BrazilianE-commerce,URIs,owl:versionInfo,owl,versionInfo,TRUE
mixtral-8-7b,all,BrazilianE-commerce,URIs,owl:Class,owl,Class,TRUE
mixtral-8-7b,all,BrazilianE-commerce,URIs,xsd:string,xsd,string,TRUE
mixtral-8-7b,all,BrazilianE-commerce,URIs,xsd:integer,xsd,integer,TRUE
mixtral-8-7b,all,CustomerComplaint,total,10,NA,NA,NA
mixtral-8-7b,all,CustomerComplaint,validity,9,NA,NA,NA
mixtral-8-7b,all,CustomerComplaint,corrected,1,NA,NA,NA
mixtral-8-7b,all,CustomerComplaint,URIs,rdf:type (a),rdf,type (a),TRUE
mixtral-8-7b,all,CustomerComplaint,URIs,rdfs:subClassOf,rdfs,subClassOf,TRUE
mixtral-8-7b,all,CustomerComplaint,URIs,rdfs:domain,rdfs,domain,TRUE
mixtral-8-7b,all,CustomerComplaint,URIs,rdfs:range,rdfs,range,TRUE
mixtral-8-7b,all,CustomerComplaint,URIs,owl:Class,owl,Class,TRUE
mixtral-8-7b,all,CustomerComplaint,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
mixtral-8-7b,all,CustomerComplaint,URIs,owl:DataProperty,owl,DataProperty,FALSE
mixtral-8-7b,all,CustomerComplaint,URIs,xsd:string,xsd,string,TRUE
mixtral-8-7b,all,CustomerComplaint,URIs,xsd:integer,xsd,integer,TRUE
mixtral-8-7b,all,CustomerComplaint,URIs,xsd:float,xsd,float,TRUE
mixtral-8-7b,all,eCommerce,total,7,NA,NA,NA
mixtral-8-7b,all,eCommerce,validity,7,NA,NA,NA
mixtral-8-7b,all,eCommerce,corrected,0,NA,NA,NA
mixtral-8-7b,all,eCommerce,URIs,rdf:type (a),rdf,type (a),TRUE
mixtral-8-7b,all,eCommerce,URIs,owl:Ontology,owl,Ontology,TRUE
mixtral-8-7b,all,eCommerce,URIs,owl:FunctionalProperty,owl,FunctionalProperty,TRUE
mixtral-8-7b,all,eCommerce,URIs,rdfs:Class,rdfs,Class,TRUE
mixtral-8-7b,all,eCommerce,URIs,rdf:Property,rdf,Property,TRUE
mixtral-8-7b,all,eCommerce,URIs,rdfs:Literal,rdfs,Literal,TRUE
mixtral-8-7b,all,eCommerce,URIs,xsd:integer,xsd,integer,TRUE
