method,quantization,dataset,feature,value,prefix,id,correct
llama-2-7b,all,eCommerce,URIs,xsd:integer,xsd,integer,TRUE
llama-2-7b,all,eCommerce,URIs,xsd:string,xsd,string,TRUE
llama-2-7b,all,eCommerce,URIs,xsd:decimal,xsd,decimal,TRUE
llama-2-7b,all,eCommerce,URIs,xsd:date,xsd,date,TRUE
llama-3-8b,4bits,AirlinesCustomerSatisfaction,total,10,NA,NA,NA
llama-3-8b,4bits,AirlinesCustomerSatisfaction,validity,10,NA,NA,NA
llama-3-8b,4bits,AirlinesCustomerSatisfaction,corrected,0,NA,NA,NA
llama-3-8b,4bits,AirlinesCustomerSatisfaction,URIs,owl:Ontology,owl,Ontology,TRUE
llama-3-8b,4bits,AirlinesCustomerSatisfaction,URIs,rdf:type (a),rdf,type (a),TRUE
llama-3-8b,4bits,AirlinesCustomerSatisfaction,URIs,owl:Class,owl,Class,TRUE
llama-3-8b,4bits,AirlinesCustomerSatisfaction,URIs,rdfs:label,rdfs,label,TRUE
llama-3-8b,4bits,AirlinesCustomerSatisfaction,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-3-8b,4bits,AirlinesCustomerSatisfaction,URIs,rdfs:domain,rdfs,domain,TRUE
llama-3-8b,4bits,AirlinesCustomerSatisfaction,URIs,rdfs:range,rdfs,range,TRUE
llama-3-8b,4bits,AirlinesCustomerSatisfaction,URIs,xsd:string,xsd,string,TRUE
llama-3-8b,4bits,AirlinesCustomerSatisfaction,URIs,xsd:integer,xsd,integer,TRUE
llama-3-8b,4bits,AirlinesCustomerSatisfaction,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-3-8b,8bits,AirlinesCustomerSatisfaction,total,11,NA,NA,NA
llama-3-8b,8bits,AirlinesCustomerSatisfaction,validity,11,NA,NA,NA
llama-3-8b,8bits,AirlinesCustomerSatisfaction,corrected,0,NA,NA,NA
llama-3-8b,8bits,AirlinesCustomerSatisfaction,URIs,owl:Ontology,owl,Ontology,TRUE
llama-3-8b,8bits,AirlinesCustomerSatisfaction,URIs,rdf:type (a),rdf,type (a),TRUE
llama-3-8b,8bits,AirlinesCustomerSatisfaction,URIs,owl:Class,owl,Class,TRUE
llama-3-8b,8bits,AirlinesCustomerSatisfaction,URIs,rdfs:label,rdfs,label,TRUE
llama-3-8b,8bits,AirlinesCustomerSatisfaction,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-3-8b,8bits,AirlinesCustomerSatisfaction,URIs,rdfs:domain,rdfs,domain,TRUE
llama-3-8b,8bits,AirlinesCustomerSatisfaction,URIs,rdfs:range,rdfs,range,TRUE
llama-3-8b,8bits,AirlinesCustomerSatisfaction,URIs,xsd:string,xsd,string,TRUE
llama-3-8b,8bits,AirlinesCustomerSatisfaction,URIs,xsd:integer,xsd,integer,TRUE
llama-3-8b,8bits,AirlinesCustomerSatisfaction,URIs,xsd:float,xsd,float,TRUE
llama-3-8b,8bits,AirlinesCustomerSatisfaction,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-3-8b,all,AirlinesCustomerSatisfaction,total,10,NA,NA,NA
llama-3-8b,all,AirlinesCustomerSatisfaction,validity,10,NA,NA,NA
llama-3-8b,all,AirlinesCustomerSatisfaction,corrected,0,NA,NA,NA
llama-3-8b,all,AirlinesCustomerSatisfaction,URIs,owl:Ontology,owl,Ontology,TRUE
llama-3-8b,all,AirlinesCustomerSatisfaction,URIs,rdf:type (a),rdf,type (a),TRUE
llama-3-8b,all,AirlinesCustomerSatisfaction,URIs,owl:Class,owl,Class,TRUE
llama-3-8b,all,AirlinesCustomerSatisfaction,URIs,rdfs:label,rdfs,label,TRUE
llama-3-8b,all,AirlinesCustomerSatisfaction,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-3-8b,all,AirlinesCustomerSatisfaction,URIs,rdfs:domain,rdfs,domain,TRUE
llama-3-8b,all,AirlinesCustomerSatisfaction,URIs,rdfs:range,rdfs,range,TRUE
llama-3-8b,all,AirlinesCustomerSatisfaction,URIs,xsd:string,xsd,string,TRUE
llama-3-8b,all,AirlinesCustomerSatisfaction,URIs,xsd:integer,xsd,integer,TRUE
llama-3-8b,all,AirlinesCustomerSatisfaction,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-3-8b,4bits,AmazonRating,total,9,NA,NA,NA
llama-3-8b,4bits,AmazonRating,validity,9,NA,NA,NA
llama-3-8b,4bits,AmazonRating,corrected,0,NA,NA,NA
llama-3-8b,4bits,AmazonRating,URIs,owl:Ontology,owl,Ontology,TRUE
llama-3-8b,4bits,AmazonRating,URIs,rdf:type (a),rdf,type (a),TRUE
llama-3-8b,4bits,AmazonRating,URIs,owl:Class,owl,Class,TRUE
llama-3-8b,4bits,AmazonRating,URIs,rdfs:label,rdfs,label,TRUE
llama-3-8b,4bits,AmazonRating,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-3-8b,4bits,AmazonRating,URIs,rdfs:domain,rdfs,domain,TRUE
llama-3-8b,4bits,AmazonRating,URIs,rdfs:range,rdfs,range,TRUE
llama-3-8b,4bits,AmazonRating,URIs,xsd:string,xsd,string,TRUE
llama-3-8b,4bits,AmazonRating,URIs,xsd:decimal,xsd,decimal,TRUE
llama-3-8b,8bits,AmazonRating,total,11,NA,NA,NA
llama-3-8b,8bits,AmazonRating,validity,11,NA,NA,NA
llama-3-8b,8bits,AmazonRating,corrected,0,NA,NA,NA
llama-3-8b,8bits,AmazonRating,URIs,owl:Ontology,owl,Ontology,TRUE
llama-3-8b,8bits,AmazonRating,URIs,rdf:type (a),rdf,type (a),TRUE
llama-3-8b,8bits,AmazonRating,URIs,owl:Class,owl,Class,TRUE
llama-3-8b,8bits,AmazonRating,URIs,rdfs:label,rdfs,label,TRUE
llama-3-8b,8bits,AmazonRating,URIs,rdfs:subClassOf,rdfs,subClassOf,TRUE
llama-3-8b,8bits,AmazonRating,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-3-8b,8bits,AmazonRating,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-3-8b,8bits,AmazonRating,URIs,rdfs:domain,rdfs,domain,TRUE
llama-3-8b,8bits,AmazonRating,URIs,rdfs:range,rdfs,range,TRUE
llama-3-8b,8bits,AmazonRating,URIs,xsd:string,xsd,string,TRUE
llama-3-8b,8bits,AmazonRating,URIs,xsd:decimal,xsd,decimal,TRUE
llama-3-8b,all,AmazonRating,total,10,NA,NA,NA
llama-3-8b,all,AmazonRating,validity,10,NA,NA,NA
llama-3-8b,all,AmazonRating,corrected,0,NA,NA,NA
llama-3-8b,all,AmazonRating,URIs,owl:Ontology,owl,Ontology,TRUE
llama-3-8b,all,AmazonRating,URIs,rdf:type (a),rdf,type (a),TRUE
llama-3-8b,all,AmazonRating,URIs,owl:Class,owl,Class,TRUE
llama-3-8b,all,AmazonRating,URIs,rdfs:label,rdfs,label,TRUE
llama-3-8b,all,AmazonRating,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-3-8b,all,AmazonRating,URIs,rdfs:domain,rdfs,domain,TRUE
llama-3-8b,all,AmazonRating,URIs,rdfs:range,rdfs,range,TRUE
llama-3-8b,all,AmazonRating,URIs,xsd:string,xsd,string,TRUE
llama-3-8b,all,AmazonRating,URIs,xsd:integer,xsd,integer,TRUE
llama-3-8b,all,AmazonRating,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-3-8b,4bits,BigBasketProducts,total,10,NA,NA,NA
llama-3-8b,4bits,BigBasketProducts,validity,10,NA,NA,NA
llama-3-8b,4bits,BigBasketProducts,corrected,0,NA,NA,NA
llama-3-8b,4bits,BigBasketProducts,URIs,owl:Ontology,owl,Ontology,TRUE
llama-3-8b,4bits,BigBasketProducts,URIs,rdf:type (a),rdf,type (a),TRUE
llama-3-8b,4bits,BigBasketProducts,URIs,owl:Class,owl,Class,TRUE
llama-3-8b,4bits,BigBasketProducts,URIs,rdfs:label,rdfs,label,TRUE
llama-3-8b,4bits,BigBasketProducts,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-3-8b,4bits,BigBasketProducts,URIs,rdfs:domain,rdfs,domain,TRUE
llama-3-8b,4bits,BigBasketProducts,URIs,rdfs:range,rdfs,range,TRUE
llama-3-8b,4bits,BigBasketProducts,URIs,xsd:string,xsd,string,TRUE
llama-3-8b,4bits,BigBasketProducts,URIs,xsd:decimal,xsd,decimal,TRUE
llama-3-8b,4bits,BigBasketProducts,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-3-8b,8bits,BigBasketProducts,total,9,NA,NA,NA
llama-3-8b,8bits,BigBasketProducts,validity,9,NA,NA,NA
llama-3-8b,8bits,BigBasketProducts,corrected,0,NA,NA,NA
llama-3-8b,8bits,BigBasketProducts,URIs,owl:Ontology,owl,Ontology,TRUE
llama-3-8b,8bits,BigBasketProducts,URIs,rdf:type (a),rdf,type (a),TRUE
llama-3-8b,8bits,BigBasketProducts,URIs,owl:Class,owl,Class,TRUE
llama-3-8b,8bits,BigBasketProducts,URIs,rdfs:label,rdfs,label,TRUE
llama-3-8b,8bits,BigBasketProducts,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-3-8b,8bits,BigBasketProducts,URIs,rdfs:domain,rdfs,domain,TRUE
llama-3-8b,8bits,BigBasketProducts,URIs,rdfs:range,rdfs,range,TRUE
llama-3-8b,8bits,BigBasketProducts,URIs,xsd:string,xsd,string,TRUE
llama-3-8b,8bits,BigBasketProducts,URIs,xsd:decimal,xsd,decimal,TRUE
llama-3-8b,all,BigBasketProducts,total,10,NA,NA,NA
llama-3-8b,all,BigBasketProducts,validity,10,NA,NA,NA
llama-3-8b,all,BigBasketProducts,corrected,0,NA,NA,NA
llama-3-8b,all,BigBasketProducts,URIs,owl:Ontology,owl,Ontology,TRUE
llama-3-8b,all,BigBasketProducts,URIs,rdf:type (a),rdf,type (a),TRUE
llama-3-8b,all,BigBasketProducts,URIs,owl:Class,owl,Class,TRUE
llama-3-8b,all,BigBasketProducts,URIs,rdfs:label,rdfs,label,TRUE
llama-3-8b,all,BigBasketProducts,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-3-8b,all,BigBasketProducts,URIs,rdfs:domain,rdfs,domain,TRUE
llama-3-8b,all,BigBasketProducts,URIs,rdfs:range,rdfs,range,TRUE
llama-3-8b,all,BigBasketProducts,URIs,xsd:string,xsd,string,TRUE
llama-3-8b,all,BigBasketProducts,URIs,xsd:decimal,xsd,decimal,TRUE
llama-3-8b,all,BigBasketProducts,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-3-8b,4bits,BrazilianE-commerce,total,10,NA,NA,NA
llama-3-8b,4bits,BrazilianE-commerce,validity,10,NA,NA,NA
llama-3-8b,4bits,BrazilianE-commerce,corrected,0,NA,NA,NA
llama-3-8b,4bits,BrazilianE-commerce,URIs,owl:Ontology,owl,Ontology,TRUE
llama-3-8b,4bits,BrazilianE-commerce,URIs,rdf:type (a),rdf,type (a),TRUE
llama-3-8b,4bits,BrazilianE-commerce,URIs,owl:Class,owl,Class,TRUE
llama-3-8b,4bits,BrazilianE-commerce,URIs,rdfs:label,rdfs,label,TRUE
llama-3-8b,4bits,BrazilianE-commerce,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-3-8b,4bits,BrazilianE-commerce,URIs,rdfs:domain,rdfs,domain,TRUE
llama-3-8b,4bits,BrazilianE-commerce,URIs,rdfs:range,rdfs,range,TRUE
llama-3-8b,4bits,BrazilianE-commerce,URIs,xsd:string,xsd,string,TRUE
llama-3-8b,4bits,BrazilianE-commerce,URIs,xsd:dateTime,xsd,dateTime,TRUE
llama-3-8b,4bits,BrazilianE-commerce,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-3-8b,8bits,BrazilianE-commerce,total,11,NA,NA,NA
llama-3-8b,8bits,BrazilianE-commerce,validity,11,NA,NA,NA
llama-3-8b,8bits,BrazilianE-commerce,corrected,0,NA,NA,NA
llama-3-8b,8bits,BrazilianE-commerce,URIs,owl:Ontology,owl,Ontology,TRUE
llama-3-8b,8bits,BrazilianE-commerce,URIs,rdf:type (a),rdf,type (a),TRUE
llama-3-8b,8bits,BrazilianE-commerce,URIs,owl:Class,owl,Class,TRUE
llama-3-8b,8bits,BrazilianE-commerce,URIs,rdfs:label,rdfs,label,TRUE
llama-3-8b,8bits,BrazilianE-commerce,URIs,rdfs:subClassOf,rdfs,subClassOf,TRUE
llama-3-8b,8bits,BrazilianE-commerce,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-3-8b,8bits,BrazilianE-commerce,URIs,rdfs:domain,rdfs,domain,TRUE
llama-3-8b,8bits,BrazilianE-commerce,URIs,rdfs:range,rdfs,range,TRUE
llama-3-8b,8bits,BrazilianE-commerce,URIs,xsd:string,xsd,string,TRUE
llama-3-8b,8bits,BrazilianE-commerce,URIs,xsd:dateTime,xsd,dateTime,TRUE
llama-3-8b,8bits,BrazilianE-commerce,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-3-8b,all,BrazilianE-commerce,total,10,NA,NA,NA
llama-3-8b,all,BrazilianE-commerce,validity,10,NA,NA,NA
llama-3-8b,all,BrazilianE-commerce,corrected,0,NA,NA,NA
llama-3-8b,all,BrazilianE-commerce,URIs,owl:Ontology,owl,Ontology,TRUE
llama-3-8b,all,BrazilianE-commerce,URIs,rdf:type (a),rdf,type (a),TRUE
llama-3-8b,all,BrazilianE-commerce,URIs,owl:Class,owl,Class,TRUE
llama-3-8b,all,BrazilianE-commerce,URIs,rdfs:label,rdfs,label,TRUE
llama-3-8b,all,BrazilianE-commerce,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-3-8b,all,BrazilianE-commerce,URIs,rdfs:domain,rdfs,domain,TRUE
llama-3-8b,all,BrazilianE-commerce,URIs,rdfs:range,rdfs,range,TRUE
llama-3-8b,all,BrazilianE-commerce,URIs,xsd:string,xsd,string,TRUE
llama-3-8b,all,BrazilianE-commerce,URIs,xsd:date,xsd,date,TRUE
llama-3-8b,all,BrazilianE-commerce,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-3-8b,4bits,CustomerComplaint,total,10,NA,NA,NA
llama-3-8b,4bits,CustomerComplaint,validity,10,NA,NA,NA
llama-3-8b,4bits,CustomerComplaint,corrected,0,NA,NA,NA
llama-3-8b,4bits,CustomerComplaint,URIs,owl:Ontology,owl,Ontology,TRUE
llama-3-8b,4bits,CustomerComplaint,URIs,rdf:type (a),rdf,type (a),TRUE
llama-3-8b,4bits,CustomerComplaint,URIs,owl:Class,owl,Class,TRUE
llama-3-8b,4bits,CustomerComplaint,URIs,rdfs:label,rdfs,label,TRUE
llama-3-8b,4bits,CustomerComplaint,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-3-8b,4bits,CustomerComplaint,URIs,rdfs:domain,rdfs,domain,TRUE
llama-3-8b,4bits,CustomerComplaint,URIs,rdfs:range,rdfs,range,TRUE
llama-3-8b,4bits,CustomerComplaint,URIs,xsd:string,xsd,string,TRUE
llama-3-8b,4bits,CustomerComplaint,URIs,xsd:decimal,xsd,decimal,TRUE
llama-3-8b,4bits,CustomerComplaint,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-3-8b,8bits,CustomerComplaint,total,10,NA,NA,NA
llama-3-8b,8bits,CustomerComplaint,validity,10,NA,NA,NA
llama-3-8b,8bits,CustomerComplaint,corrected,0,NA,NA,NA
llama-3-8b,8bits,CustomerComplaint,URIs,rdf:type (a),rdf,type (a),TRUE
llama-3-8b,8bits,CustomerComplaint,URIs,owl:Class,owl,Class,TRUE
llama-3-8b,8bits,CustomerComplaint,URIs,rdfs:label,rdfs,label,TRUE
llama-3-8b,8bits,CustomerComplaint,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-3-8b,8bits,CustomerComplaint,URIs,rdfs:domain,rdfs,domain,TRUE
llama-3-8b,8bits,CustomerComplaint,URIs,rdfs:range,rdfs,range,TRUE
llama-3-8b,8bits,CustomerComplaint,URIs,xsd:string,xsd,string,TRUE
llama-3-8b,8bits,CustomerComplaint,URIs,xsd:date,xsd,date,TRUE
llama-3-8b,8bits,CustomerComplaint,URIs,xsd:integer,xsd,integer,TRUE
llama-3-8b,8bits,CustomerComplaint,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-3-8b,all,CustomerComplaint,total,11,NA,NA,NA
llama-3-8b,all,CustomerComplaint,validity,11,NA,NA,NA
llama-3-8b,all,CustomerComplaint,corrected,0,NA,NA,NA
llama-3-8b,all,CustomerComplaint,URIs,owl:Ontology,owl,Ontology,TRUE
llama-3-8b,all,CustomerComplaint,URIs,rdf:type (a),rdf,type (a),TRUE
llama-3-8b,all,CustomerComplaint,URIs,owl:Class,owl,Class,TRUE
llama-3-8b,all,CustomerComplaint,URIs,rdfs:label,rdfs,label,TRUE
llama-3-8b,all,CustomerComplaint,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-3-8b,all,CustomerComplaint,URIs,rdfs:domain,rdfs,domain,TRUE
llama-3-8b,all,CustomerComplaint,URIs,rdfs:range,rdfs,range,TRUE
llama-3-8b,all,CustomerComplaint,URIs,xsd:string,xsd,string,TRUE
llama-3-8b,all,CustomerComplaint,URIs,xsd:date,xsd,date,TRUE
llama-3-8b,all,CustomerComplaint,URIs,xsd:integer,xsd,integer,TRUE
llama-3-8b,all,CustomerComplaint,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-3-8b,4bits,eCommerce,total,12,NA,NA,NA
llama-3-8b,4bits,eCommerce,validity,12,NA,NA,NA
llama-3-8b,4bits,eCommerce,corrected,0,NA,NA,NA
llama-3-8b,4bits,eCommerce,URIs,owl:Ontology,owl,Ontology,TRUE
llama-3-8b,4bits,eCommerce,URIs,rdf:type (a),rdf,type (a),TRUE
llama-3-8b,4bits,eCommerce,URIs,owl:Class,owl,Class,TRUE
llama-3-8b,4bits,eCommerce,URIs,rdfs:label,rdfs,label,TRUE
llama-3-8b,4bits,eCommerce,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-3-8b,4bits,eCommerce,URIs,rdfs:domain,rdfs,domain,TRUE
llama-3-8b,4bits,eCommerce,URIs,rdfs:range,rdfs,range,TRUE
llama-3-8b,4bits,eCommerce,URIs,xsd:string,xsd,string,TRUE
llama-3-8b,4bits,eCommerce,URIs,xsd:date,xsd,date,TRUE
llama-3-8b,4bits,eCommerce,URIs,xsd:integer,xsd,integer,TRUE
llama-3-8b,4bits,eCommerce,URIs,xsd:decimal,xsd,decimal,TRUE
llama-3-8b,4bits,eCommerce,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-3-8b,8bits,eCommerce,total,12,NA,NA,NA
llama-3-8b,8bits,eCommerce,validity,12,NA,NA,NA
llama-3-8b,8bits,eCommerce,corrected,0,NA,NA,NA
llama-3-8b,8bits,eCommerce,URIs,owl:Ontology,owl,Ontology,TRUE
llama-3-8b,8bits,eCommerce,URIs,rdf:type (a),rdf,type (a),TRUE
llama-3-8b,8bits,eCommerce,URIs,owl:Class,owl,Class,TRUE
llama-3-8b,8bits,eCommerce,URIs,rdfs:label,rdfs,label,TRUE
llama-3-8b,8bits,eCommerce,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-3-8b,8bits,eCommerce,URIs,rdfs:domain,rdfs,domain,TRUE
llama-3-8b,8bits,eCommerce,URIs,rdfs:range,rdfs,range,TRUE
llama-3-8b,8bits,eCommerce,URIs,xsd:string,xsd,string,TRUE
llama-3-8b,8bits,eCommerce,URIs,xsd:date,xsd,date,TRUE
llama-3-8b,8bits,eCommerce,URIs,xsd:integer,xsd,integer,TRUE
llama-3-8b,8bits,eCommerce,URIs,xsd:decimal,xsd,decimal,TRUE
llama-3-8b,8bits,eCommerce,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
llama-3-8b,all,eCommerce,total,12,NA,NA,NA
llama-3-8b,all,eCommerce,validity,12,NA,NA,NA
llama-3-8b,all,eCommerce,corrected,0,NA,NA,NA
llama-3-8b,all,eCommerce,URIs,owl:Ontology,owl,Ontology,TRUE
llama-3-8b,all,eCommerce,URIs,rdf:type (a),rdf,type (a),TRUE
llama-3-8b,all,eCommerce,URIs,owl:Class,owl,Class,TRUE
llama-3-8b,all,eCommerce,URIs,rdfs:label,rdfs,label,TRUE
llama-3-8b,all,eCommerce,URIs,owl:DatatypeProperty,owl,DatatypeProperty,TRUE
llama-3-8b,all,eCommerce,URIs,rdfs:domain,rdfs,domain,TRUE
llama-3-8b,all,eCommerce,URIs,rdfs:range,rdfs,range,TRUE
llama-3-8b,all,eCommerce,URIs,xsd:string,xsd,string,TRUE
llama-3-8b,all,eCommerce,URIs,xsd:date,xsd,date,TRUE
llama-3-8b,all,eCommerce,URIs,xsd:integer,xsd,integer,TRUE
llama-3-8b,all,eCommerce,URIs,xsd:decimal,xsd,decimal,TRUE
llama-3-8b,all,eCommerce,URIs,owl:ObjectProperty,owl,ObjectProperty,TRUE
